ID,BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
83688,1,0,Warm Cool,Y,1,6,2,1940,2010,1954,2,8/8/2008 0:00,160000,U,1,832,1,2 Story,Row Inside,Average,Average,Common Brick,Slate,Hardwood,1,0,11,1474,7/22/2018 18:01,Residential,,,315 35TH STREET NE,WASHINGTON,DC,20019,18S UJ 30412 06835,38.89403137,-76.95548645,Lily Ponds,032 B Lily Ponds,9604,009604 2002,Ward 7,5018,-76.95612453,38.89417221,NE
17757,1,0,Hot Water Rad,N,1,6,4,1917,2008,1957,2,5/25/2004 0:00,370000,U,1,1340,1,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,1812,7/22/2018 18:01,Residential,,,1609 EAST CAPITOL STREET SE,WASHINGTON,DC,20003,18S UJ 28118 06385,38.88953388,-76.98180242,Old City 1,039 A Old City 1,6801,006801 2000,Ward 6,1085,-76.98165084,38.88908272,SE
13446,2,2,Hot Water Rad,Y,1,10,3,1920,2007,1969,2,12/31/1998 0:00,214000,Q,1,1614,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Wood Floor,1,0,11,1294,7/22/2018 18:01,Residential,,,917 1/2 C STREET NE,WASHINGTON,DC,20002,18S UJ 27148 06841,38.89345068,-76.99310504,Old City 1,039 K Old City 1,8100,008100 2005,Ward 6,939,-76.99322213,38.89285729,NE
36823,4,1,Hot Water Rad,Y,1,7,5,1931,2005,1972,2.5,12/20/2012 0:00,895000,Q,1,1628,1,2.5 Story Fin,Single,Very Good,Good,Brick/Siding,Slate,Hardwood,1,1,12,3967,7/22/2018 18:01,Residential,,,5461 32ND STREET NW,WASHINGTON,DC,20015,18S UJ 21204 14734,38.96334147,-77.06365722,Chevy Chase,011 E Chevy Chase,1402,001402 1010,Ward 4,2293,-77.06328805,38.96206917,NW
36066,2,1,Hot Water Rad,N,1,12,4,1918,1985,1961,2,7/2/1997 0:00,420000,Q,1,3971,1,2 Story,Single,Very Good,Good,Stucco,Comp Shingle,Hardwood,1,2,12,9612,7/22/2018 18:01,Residential,,,3220 PATTERSON STREET NW,WASHINGTON,DC,20015,18S UJ 21089 15185,38.96738024,-77.06509791,Chevy Chase,011 C Chevy Chase,1500,001500 2011,Ward 4,2022,-77.06515313,38.96629913,NW
34184,4,0,Hot Water Rad,Y,1,12,5,1923,2015,1978,2.5,1/24/2012 0:00,2100000,Q,1,5727,1,2.5 Story Fin,Single,Excellent,Good,Common Brick,Slate,Hardwood,1,1,12,16761,7/22/2018 18:01,Residential,,,3815 HUNTINGTON STREET NW,WASHINGTON,DC,20015,18S UJ 20080 14156,38.95790875,-77.07646945,Chevy Chase,011 A Chevy Chase,1100,001100 4000,Ward 3,1852,-77.07636047,38.95737408,NW
9548,2,1,Forced Air,Y,1,6,3,1913,2005,1967,2,6/24/2013 0:00,793000,Q,1,1928,1,2 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood,1,1,11,1935,7/22/2018 18:01,Residential,,,923 9TH STREET NE,WASHINGTON,DC,20002,18S UJ 27134 07791,38.90200873,-76.99350299,Old City 1,039 L Old City 1,8410,008410 1012,Ward 6,932,-76.99314669,38.90193631,NE
12475,3,0,Forced Air,Y,1,6,3,1910,2014,1964,2,2/18/2014 0:00,599900,Q,1,1200,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood/Carp,1,0,11,1040,7/22/2018 18:01,Residential,,,707 FLORIDA AVENUE NE,WASHINGTON,DC,20002,18S UJ 26946 08122,38.90494709,-76.99575318,Old City 1,039 L Old City 1,10600,010600 1002,Ward 6,886,-76.99561201,38.90436718,NE
40652,1,0,Hot Water Rad,Y,2,7,3,1915,2009,1960,2.25,12/20/2005 0:00,650000,Q,1,2083,1,2.5 Story Fin,Row Inside,Good Quality,Average,Common Brick,Built Up,Hardwood,2,0,11,2167,7/22/2018 18:01,Residential,,,1867 NEWTON STREET NW,WASHINGTON,DC,20010,18S UJ 22880 11480,38.93437838,-77.04347971,Mt. Pleasant,036 A Mt. Pleasant,2701,002701 3001,Ward 1,2616,-77.04276784,38.93440084,NW
11713,1,1,Hot Water Rad,Y,2,8,3,1900,2006,1969,2,11/20/2003 0:00,399500,Q,1,1412,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1159,7/22/2018 18:01,Residential,,,243 8TH STREET NE,WASHINGTON,DC,20002,18S UJ 27008 06824,38.89326942,-76.99471355,Old City 1,039 K Old City 1,8100,008100 2004,Ward 6,917,-76.99420068,38.89275626,NE
